image_id,path,class,width,height,channels,average_R,average_G,average_B,PSNR_CLAHE,SSIM_CLAHE,MSE_CLAHE,PSNR_MULTISCALE,SSIM_MULTISCALE,MSE_MULTISCALE,PSNR_RAYLEIGH,SSIM_RAYLEIGH,MSE_RAYLEIGH
train_normal_ (1).jpg,0_normal\train_normal_ (1).jpg,0_normal,615,531,3,137.630346179168,87.53159401650514,69.06869076600371,21.622330280808384,0.8505177970335273,447.5559475142774,15.111904885714615,0.7786009181346308,2003.9638009788762,14.837694525608306,0.8390293025791749,2134.572491438662
train_normal_ (10).jpg,0_normal\train_normal_ (10).jpg,0_normal,633,531,3,141.79670537273557,96.65980013268953,74.47583771417011,21.226576519930674,0.8367695116449962,490.25576450684224,14.452677709455,0.7817707629516983,2332.4513278373292,18.076784101338024,0.8533691168435816,1012.5161305038135
train_normal_ (100).jpg,0_normal\train_normal_ (100).jpg,0_normal,633,532,3,144.54875043057882,106.39534262195774,80.40257040706031,22.08017350460922,0.8614952934041209,402.77546749971293,14.635380773582693,0.7805919825147355,2236.362923501487,16.288995209535948,0.8067852205529195,1528.202268111036
train_normal_ (101).jpg,0_normal\train_normal_ (101).jpg,0_normal,633,532,3,155.41068013635984,99.27662461841808,75.80144080580598,22.01217057367042,0.8688158048119798,409.1318630304038,14.129328852998093,0.8034062516150808,2512.7395502975446,14.225391791089336,0.8345786259459664,2457.7696769570057
train_normal_ (102).jpg,0_normal\train_normal_ (102).jpg,0_normal,633,532,3,119.79081590231505,79.52650286854578,61.595505351055365,21.03190509033983,0.836876595465753,512.7313257472275,15.553832801575606,0.7734576102699039,1810.0771280491908,16.458470597970194,0.808057274891692,1469.7155903186085
train_normal_ (103).jpg,0_normal\train_normal_ (103).jpg,0_normal,627,548,3,171.7005087370051,95.41419865190514,47.4636520797681,19.48542937573306,0.7887934865584783,732.0444009825493,12.988908741323106,0.7113461820202274,3267.3035658156673,12.412578308412947,0.6911418923391993,3730.9766411716087
train_normal_ (104).jpg,0_normal\train_normal_ (104).jpg,0_normal,633,532,3,143.53303578852345,98.93756013255889,78.91200750691895,21.583136387641307,0.8411268768839845,451.61329864946725,14.252758308129579,0.771349807202955,2442.3310458215046,19.083318091970632,0.8136958458819912,803.0610303404641
train_normal_ (105).jpg,0_normal\train_normal_ (105).jpg,0_normal,633,531,3,153.3047842605237,98.95481416029251,74.6222037765937,22.02249341395719,0.8486784617654263,408.1605434121834,14.05404859338416,0.7741251882379862,2556.674863070959,15.07514123645059,0.6969526947040736,2020.9996449712357
train_normal_ (106).jpg,0_normal\train_normal_ (106).jpg,0_normal,633,532,3,131.98430020549003,89.64337680694628,71.50624487759684,20.082140498350537,0.8238754333992151,638.0670396370072,15.071922527062343,0.7901262245093479,2022.4980341849885,16.601235626990757,0.8795672083094275,1422.1873067344507
train_normal_ (107).jpg,0_normal\train_normal_ (107).jpg,0_normal,633,531,3,113.60483215965584,76.90832820128345,57.271733859331256,21.781201700485223,0.8372048616400105,431.4795238647757,15.60112476674967,0.772617201988792,1790.4734447409628,13.389463167984024,0.795138280868926,2979.4358840860837
train_normal_ (108).jpg,0_normal\train_normal_ (108).jpg,0_normal,633,531,3,139.6145696664614,94.67807618044584,71.68980998027507,21.879158597818396,0.8502936482320979,421.85626293549285,14.706165162513113,0.7836695063056748,2200.208532789088,17.217873260790174,0.7576393775052795,1233.937136107913
train_normal_ (109).jpg,0_normal\train_normal_ (109).jpg,0_normal,633,531,3,95.87183560779832,68.47389794807258,50.92419739202613,20.203553021624675,0.8310175539769011,620.4761015064921,16.336875020402896,0.7560916982124758,1511.4467769239236,12.559458591575396,0.736547683531444,3606.9033211056667
train_normal_ (11).jpg,0_normal\train_normal_ (11).jpg,0_normal,633,531,3,117.83779449784753,79.5627523257855,59.52033333035824,21.13188955942835,0.834592895099716,501.061927726854,15.628930150207106,0.7847557487649109,1779.046689257603,13.885731583211937,0.8374638349647219,2657.7076258790185
train_normal_ (110).jpg,0_normal\train_normal_ (110).jpg,0_normal,633,532,3,145.08134673175832,94.17226122177482,72.77409756619036,20.42901605325468,0.8297653433517893,589.0860732003786,14.384287572626961,0.7774675932179123,2369.4721232385864,15.853237346695666,0.8109585992994204,1689.4938927096573
train_normal_ (111).jpg,0_normal\train_normal_ (111).jpg,0_normal,633,532,3,137.5608838446828,88.87484707028234,70.17492487142026,20.255888203567665,0.8336694426547259,613.0438507405955,14.59947457997075,0.7802167141131731,2254.9291603812057,15.826061703335784,0.8555600760329035,1700.098916327153
train_normal_ (112).jpg,0_normal\train_normal_ (112).jpg,0_normal,633,532,3,121.74363634203992,77.59592108232667,60.48871586549312,21.54941612608517,0.8651641945307785,455.1334428092348,15.331318702402053,0.7897139331174642,1905.234734743652,16.919540668218097,0.8530834898867202,1321.6799265145487
train_normal_ (113).jpg,0_normal\train_normal_ (113).jpg,0_normal,633,532,3,153.18321871028283,95.37980021142904,73.83069640926962,20.6523438547265,0.8262837689506071,559.5591159969434,14.136438993818787,0.7705250239266253,2508.6291330617223,15.562058348892592,0.779427432949725,1806.6520824177346
train_normal_ (114).jpg,0_normal\train_normal_ (114).jpg,0_normal,633,532,3,141.11328380192185,100.50184109563008,75.54891375357826,20.45216744884142,0.8586603422362554,585.9541250440477,14.641894589451754,0.8012775926085843,2233.0112029679253,17.05890032835667,0.8145019612044045,1279.9421114001434
train_normal_ (115).jpg,0_normal\train_normal_ (115).jpg,0_normal,633,530,3,119.56725088676264,87.56741184536051,64.25831470386599,23.403734194957725,0.8763480891793163,296.96614504158094,15.620853277083242,0.7649187080029961,1782.3583832603058,17.138492714741233,0.8394295392870447,1256.698478841893
train_normal_ (116).jpg,0_normal\train_normal_ (116).jpg,0_normal,633,532,3,105.14149116868,69.8938519283992,55.04354488116024,20.104826886903645,0.8415446345704425,634.7426375971525,16.102484547239385,0.7970177289743563,1595.261581085415,13.685550979674286,0.7926359059727874,2783.0772606872633
train_normal_ (117).jpg,0_normal\train_normal_ (117).jpg,0_normal,633,531,3,101.95326115737394,74.466909434939,57.35234423112968,19.3099903260283,0.8132957796601498,762.2217343055964,16.503088054138143,0.7897028193345786,1454.693691495871,13.381423823474218,0.7365424295359351,2984.9563076611835
train_normal_ (118).jpg,0_normal\train_normal_ (118).jpg,0_normal,633,532,3,148.03887384337622,92.83122795139508,70.52775303186877,22.13107133424395,0.8619368096158185,398.0826295596812,14.34431735544659,0.767964747206969,2391.380179318755,15.919979103875818,0.8213606141918769,1663.728477988019
train_normal_ (119).jpg,0_normal\train_normal_ (119).jpg,0_normal,633,532,3,117.68483115371367,79.11185249854493,61.06783546544085,21.50131449174943,0.8574660189845738,460.20243440354443,15.489882428588722,0.776705621984809,1836.9279319942827,17.86165624300056,0.8460809725447862,1063.9341194613708
train_normal_ (12).jpg,0_normal\train_normal_ (12).jpg,0_normal,633,532,3,146.2657562151825,96.02883096366509,73.71766501561962,20.99463103840513,0.8386936374568424,517.1508668986843,14.438794538188146,0.7968335491256174,2339.919448106839,15.49440098212838,0.827578906586108,1835.0177210403576
train_normal_ (120).jpg,0_normal\train_normal_ (120).jpg,0_normal,633,531,3,99.25630200849092,66.6224566602107,52.25108070557504,20.88735451453756,0.8334035470514941,530.0842608211875,15.698834722293135,0.6920780039173864,1750.640166447005,13.422556966840276,0.7024425354134308,2956.8184821231116
train_normal_ (121).jpg,0_normal\train_normal_ (121).jpg,0_normal,633,532,3,144.97860765658223,99.4200548765278,74.63832270249083,20.620914530120828,0.8586908233158193,563.6232603625969,14.332343574597878,0.7825072004024434,2397.9824670285507,15.209008847349113,0.8050218703026755,1959.6543511226723
train_normal_ (122).jpg,0_normal\train_normal_ (122).jpg,0_normal,633,531,3,115.56177946763536,78.8524171211134,59.349898697798125,21.02076522625149,0.8338888350563882,514.0481946588997,15.751442083999486,0.7858276355736609,1729.5620700358697,13.666422650342806,0.8091379103283242,2795.3622493353128
train_normal_ (123).jpg,0_normal\train_normal_ (123).jpg,0_normal,633,532,3,144.2332400907482,98.77696908147144,74.01896328498972,21.024173084081404,0.860824164367903,513.6449852910317,14.378468592965024,0.7820401695931466,2372.6490347115814,15.148175721647494,0.7918338034890203,1987.2970538510574
train_normal_ (124).jpg,0_normal\train_normal_ (124).jpg,0_normal,633,531,3,140.98072431818113,93.61641125421347,71.31440871347691,21.614168965691714,0.8578709907630669,448.39779088805784,14.296146166953239,0.7781838306484656,2418.052601775739,16.583348375000067,0.7599591628214567,1428.056937490145
train_normal_ (125).jpg,0_normal\train_normal_ (125).jpg,0_normal,633,532,3,120.32424663554622,77.45389540201214,60.434008599698295,21.35044193206802,0.8611179716927577,476.47066520962755,15.411322273850402,0.7876544784695209,1870.4587436205047,17.095133888313644,0.8616530057642164,1269.3078678132931
train_normal_ (126).jpg,0_normal\train_normal_ (126).jpg,0_normal,633,532,3,137.08826865742554,94.9723924740762,72.82338844742188,21.93398465095649,0.8495891696865844,416.5641542640171,14.618876875561009,0.7617647010527331,2244.877635439309,16.355851054287342,0.8466473745922093,1504.8570785177794
train_normal_ (127).jpg,0_normal\train_normal_ (127).jpg,0_normal,633,532,3,151.10991934813336,96.67506740785612,74.18674648707076,21.17196285198932,0.830308200540164,496.459785918192,14.265362676274606,0.7739241884497038,2435.2530348382807,15.383805317069353,0.842093196532702,1882.3476196415209
train_normal_ (128).jpg,0_normal\train_normal_ (128).jpg,0_normal,633,531,3,134.30195493911455,91.62594347902404,70.96649738339833,21.86258473144305,0.839319630004479,423.4692577816256,14.706978218207066,0.7615403356711156,2199.7966637213162,20.191068005168503,0.8484030277598199,622.262400966313
